epoch,lr-Adam,step,train/loss_epoch,train/loss_step,val/accuracy,val/f1,val/loss,val/precision,val/recall
,1.2000000045186857e-05,99,,,,,,,
0,,99,,0.6414307355880737,,,,,
,1.2000000182577769e-05,199,,,,,,,
0,,199,,0.3556840717792511,,,,,
,1.2000000412177312e-05,299,,,,,,,
0,,299,,0.3940727114677429,,,,,
,1.2000000733985484e-05,399,,,,,,,
0,,399,,0.308774471282959,,,,,
,1.2000001148002287e-05,499,,,,,,,
0,,499,,0.3680296838283539,,,,,
,1.2000001654227774e-05,599,,,,,,,
0,,599,,0.27081063389778137,,,,,
,1.200000225266189e-05,699,,,,,,,
0,,699,,0.2962310314178467,,,,,
,1.2000002943304692e-05,799,,,,,,,
0,,799,,0.2417847067117691,,,,,
,1.2000003726156123e-05,899,,,,,,,
0,,899,,0.2962464690208435,,,,,
,1.2000004601216184e-05,999,,,,,,,
0,,999,,0.25747573375701904,,,,,
,1.2000005568484876e-05,1099,,,,,,,
0,,1099,,0.3218919038772583,,,,,
,1.2000006627962251e-05,1199,,,,,,,
0,,1199,,0.2520577311515808,,,,,
,1.2000007779648257e-05,1299,,,,,,,
0,,1299,,0.2639104425907135,,,,,
,1.2000009023542893e-05,1399,,,,,,,
0,,1399,,0.2516658902168274,,,,,
,1.2000010359646213e-05,1499,,,,,,,
0,,1499,,0.24198493361473083,,,,,
,1.2000011787958163e-05,1599,,,,,,,
0,,1599,,0.2658174932003021,,,,,
,1.2000013308478689e-05,1699,,,,,,,
0,,1699,,0.2837066650390625,,,,,
,1.2000014921207899e-05,1799,,,,,,,
0,,1799,,0.20529764890670776,,,,,
,1.2000016626145793e-05,1899,,,,,,,
0,,1899,,0.264890193939209,,,,,
,1.2000018423292264e-05,1999,,,,,,,
0,,1999,,0.27390798926353455,,,,,
,1.2000020312647418e-05,2099,,,,,,,
0,,2099,,0.2817227840423584,,,,,
,1.2000022294211148e-05,2199,,,,,,,
0,,2199,,0.24872171878814697,,,,,
,1.2000024367983563e-05,2299,,,,,,,
0,,2299,,0.28474563360214233,,,,,
,1.2000026533964608e-05,2399,,,,,,,
0,,2399,,0.33144521713256836,,,,,
,1.2000028792154283e-05,2499,,,,,,,
0,,2499,,0.2573479413986206,,,,,
,1.2000031142552533e-05,2599,,,,,,,
0,,2599,,0.2823084890842438,,,,,
,1.2000033585159522e-05,2699,,,,,,,
0,,2699,,0.21979749202728271,,,,,
,1.2000036119975087e-05,2799,,,,,,,
0,,2799,,0.25753965973854065,,,,,
,1.2000038746999228e-05,2899,,,,,,,
0,,2899,,0.2649818956851959,,,,,
,1.2000041466231999e-05,2999,,,,,,,
0,,2999,,0.2728092670440674,,,,,
,1.2000044277673454e-05,3099,,,,,,,
0,,3099,,0.27343595027923584,,,,,
,1.2000047181323485e-05,3199,,,,,,,
0,,3199,,0.2795257568359375,,,,,
,1.20000501771822e-05,3299,,,,,,,
0,,3299,,0.2792899012565613,,,,,
,1.2000053265249437e-05,3399,,,,,,,
0,,3399,,0.3025073707103729,,,,,
,1.2000056445525304e-05,3499,,,,,,,
0,,3499,,0.25306060910224915,,,,,
,1.20000597180098e-05,3599,,,,,,,
0,,3599,,0.273970365524292,,,,,
,1.2000063082702927e-05,3699,,,,,,,
0,,3699,,0.24498486518859863,,,,,
,1.2000066539604684e-05,3799,,,,,,,
0,,3799,,0.2160792499780655,,,,,
,1.2000070088715017e-05,3899,,,,,,,
0,,3899,,0.2652139663696289,,,,,
,1.2000073730033926e-05,3999,,,,,,,
0,,3999,,0.204197958111763,,,,,
,1.2000077463561465e-05,4099,,,,,,,
0,,4099,,0.1923181414604187,,,,,
,1.2000081289297634e-05,4199,,,,,,,
0,,4199,,0.29221493005752563,,,,,
,1.2000085207242378e-05,4299,,,,,,,
0,,4299,,0.22848770022392273,,,,,
,1.2000089217395645e-05,4399,,,,,,,
0,,4399,,0.1884756088256836,,,,,
,1.2000093319757595e-05,4499,,,,,,,
0,,4499,,0.23301437497138977,,,,,
,1.2000097514328067e-05,4599,,,,,,,
0,,4599,,0.33255159854888916,,,,,
,1.2000101801107224e-05,4699,,,,,,,
0,,4699,,0.19984862208366394,,,,,
,1.2000106180094902e-05,4799,,,,,,,
0,,4799,,0.2821267247200012,,,,,
,1.2000110651291156e-05,4899,,,,,,,
0,,4899,,0.3754439949989319,,,,,
,1.2000115214695986e-05,4999,,,,,,,
0,,4999,,0.2923540472984314,,,,,
,1.2000119870309391e-05,5099,,,,,,,
0,,5099,,0.267333447933197,,,,,
,1.2000124618131373e-05,5199,,,,,,,
